Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
NEWS Baseline,0.8590880099986471,0.037161014893513804,0.27440444205624215,0.06545749748979897,0.6272810807683888
Logistic Regression,0.6894589005353657,0.03196116424802111,0.5554361454415189,0.060444219205317375,0.669377742836006
Random Forest,0.8227817112375259,0.0427019926363115,0.4133978147949131,0.07740810303192916,0.6893938936063099
Gradient Boosting,0.9540075118701722,0.0595684327828994,0.10531972058033315,0.07609680341659117,0.6773869152032421
